name,bookings,rating,reviews,price,cuisine,location
Tapas de Espana - North Bergen,NA,NA,NA,3,Fusion / Eclectic,North Bergen
Han Dynasty,NA,5.0,1,4,Chinese,Upper West Side
Popover Cafe,NA,NA,NA,2,American,Upper West Side
Senn Thai,NA,NA,NA,3,Thai,Upper West Side
Casa Del Faro Restaurant,NA,NA,NA,2,Seafood,Weehawken
Greengrass Barney,NA,NA,1,2,American,Upper West Side
Simply Grand,NA,NA,NA,2,American,Upper West Side
Crepes On Columbus,NA,NA,NA,2,French,Harlem
La Kausa Restaurant,NA,NA,NA,2,Latin American,North Bergen
Trattoria La Sorrentina,NA,NA,NA,2,Mexican,North Bergen
Patrona Fusion Restaurant,NA,3.7,16,3,Italian,West New York
Maison Pickle,NA,NA,NA,2,Comfort Food,Upper West Side
Antonios Restaurant And Pizzeria,NA,NA,NA,2,Italian,Weehawken
La Cocina,NA,NA,NA,2,Mexican,Upper West Side
Hunan Chen's Kitchen,NA,NA,NA,2,Chinese,Harlem
Gastronomia Culinaria,NA,3.8,50,3,Italian,Upper West Side
106 Gourmet Cafe,NA,NA,NA,2,American,Harlem
Fredas,NA,NA,NA,2,Caribbean,Harlem
M.A.C.C.,NA,NA,NA,2,Unspecified,Harlem
Trova Cuban Cafe,NA,NA,NA,2,Cuban,North Bergen
Good Eats,NA,NA,NA,2,Southwest,Weehawken
Cafe Per Tutti,NA,NA,NA,3,Farm-to-table,North Bergen
Olivella Restaurant,NA,3.8,18,2,Italian,North Bergen
Guacamole Mexican Rest.,NA,NA,NA,2,Mexican,Weehawken
Cavalino's Restaurant & Bar,NA,4.0,1,2,Italian,West New York
La Fortuna,NA,NA,NA,2,Mexican,Cliffside Park
New Kam Lai Chinese Restaurant,NA,NA,NA,2,Chinese,Upper West Side
Anatolia Turkish Kitchen,NA,NA,NA,2,Eastern European,Cliffside Park
Kitaro Incorporated,NA,NA,NA,2,Japanese,Upper West Side
Celeste,NA,4.5,2,2,Italian,Upper West Side
Arties Delicatessen And Caterers,NA,NA,NA,2,American,Upper West Side
Bella Luna - NYC,NA,4.3,1120,2,Italian,Upper West Side
Camilles Restaurants,NA,NA,NA,2,American,Harlem
Jacob's Pickles,NA,4.4,40,2,Southern,Upper West Side
Paloma Negra,NA,NA,NA,2,Mexican,Cliffside Park
Flor de Mayo - West 80s,NA,NA,NA,2,Chinese,Upper West Side
George Keeley's,NA,NA,NA,2,Grill,Upper West Side
Di Palma Brothers Restaurant,NA,NA,NA,2,Italian,North Bergen
TBD - 480 Amsterdam,NA,NA,NA,2,American,Upper West Side
America Central Restaurant,NA,NA,NA,2,American,North Bergen
Cafe Lalo,NA,NA,NA,2,American,Upper West Side
Iberia Tavern and Restaurant -,NA,NA,NA,3,American,Cliffside Park
FRED'S,NA,NA,NA,2,American,Upper West Side
Garden Pizza,NA,NA,NA,2,Italian,North Bergen
La Mirabelle,NA,4.4,1552,3,French,Upper West Side
Trio Restaurant Bar & Cafe,NA,NA,NA,2,American,Cliffside Park
The Point,NA,NA,NA,2,American,North Bergen
Lins Garden,NA,NA,NA,2,Chinese,North Bergen
Charro Mexicano Rest&,NA,NA,NA,2,Mexican,North Bergen
Number One Chinese Restaurant,NA,NA,NA,2,Chinese,Weehawken
Mokum,NA,NA,NA,2,Provencal,Upper West Side
Jin Ramen,NA,NA,NA,2,Japanese,Upper West Side
Hampton Chutney Company,NA,NA,NA,2,Indian,Upper West Side
Havana&apos S Cuban Cafe Incorporated,NA,NA,NA,2,Caribbean,Edgewater
Mikies Place Restaurant,NA,NA,NA,2,American,North Bergen
Cafe Pushkin,NA,NA,NA,2,Eastern European,Upper West Side
Peacefood Cafe Inc,NA,NA,NA,2,American,Upper West Side
Centro Latino Ii,NA,NA,NA,2,Caribbean,Weehawken
Firehouse,NA,NA,NA,2,American,Upper West Side
Land Thai KItchen (2) NYC,NA,NA,NA,2,Thai,Upper West Side
In Motion Meals,NA,NA,NA,2,Italian,Cliffside Park
The One And Only,NA,NA,NA,2,Latin American,Weehawken
Amused,NA,NA,NA,2,American,Upper West Side
New Szecuan Express,NA,NA,NA,2,Chinese,Cliffside Park
Machiavelli,NA,NA,NA,3,Italian,Upper West Side
Motorino-UWS,NA,NA,NA,2,Pizzeria,Upper West Side
The Consulate,NA,4.4,177,3,French American,Upper West Side
Pasta Franco,NA,NA,NA,2,Italian,Upper West Side
Taqueria Mexicana Restaurant,NA,NA,NA,2,Mexican,Weehawken
The Meatball Shop - UWS - Permanently Closed,NA,NA,NA,2,Italian,Upper West Side
The Gin Mil,NA,NA,NA,2,Grill,Upper West Side
China Wok,NA,NA,NA,2,Chinese,Weehawken
Tsing Garden,NA,NA,NA,2,Chinese,Weehawken
Blossom on Columbus,NA,4.5,981,2,Vegan,Upper West Side
Goody Spanish & Chinese Restaurant,NA,NA,NA,2,Chinese,North Bergen
Brgr,NA,NA,NA,2,American,Upper West Side
Osteria Cotta,NA,4.4,102,2,Italian,Upper West Side
Bareburger - Columbus Avenue,NA,3.0,1,2,Burgers,Upper West Side
Medina's Shake & Cake,NA,NA,NA,2,American,Cliffside Park
